[0.763s][info][gc,heap      ] GC(5) Old regions: 57->89
[0.763s][info][gc,heap      ] GC(5) Archive regions: 0->0
[0.763s][info][gc,heap      ] GC(5) Humongous regions: 0->0
[0.763s][info][gc,metaspace ] GC(5) Metaspace: 203K->203K(1056768K)
[0.763s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 94M->93M(768M) 111.136ms
[0.763s][info][gc,cpu       ] GC(5) User=0.70s Sys=0.03s Real=0.11s
[0.856s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[0.856s][info][gc,task      ] GC(6) Using 8 workers of 8 for evacuation
[0.959s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[0.959s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 98.2ms
[0.959s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 5.2ms
[0.960s][info][gc,phases    ] GC(6)   Other: 0.2ms
[0.960s][info][gc,heap      ] GC(6) Eden regions: 33->0(33)
[0.960s][info][gc,heap      ] GC(6) Survivor regions: 5->5(5)
[0.960s][info][gc,heap      ] GC(6) Old regions: 89->118
[0.960s][info][gc,heap      ] GC(6) Archive regions: 0->0
[0.960s][info][gc,heap      ] GC(6) Humongous regions: 0->0
[0.960s][info][gc,metaspace ] GC(6) Metaspace: 203K->203K(1056768K)
[0.960s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 126M->123M(768M) 103.952ms
[0.960s][info][gc,cpu       ] GC(6) User=0.66s Sys=0.03s Real=0.10s
[1.054s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[1.054s][info][gc,task      ] GC(7) Using 8 workers of 8 for evacuation
[1.157s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[1.157s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 97.4ms
[1.157s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 5.2ms
[1.157s][info][gc,phases    ] GC(7)   Other: 0.3ms
[1.157s][info][gc,heap      ] GC(7) Eden regions: 33->0(33)
[1.157s][info][gc,heap      ] GC(7) Survivor regions: 5->5(5)
[1.157s][info][gc,heap      ] GC(7) Old regions: 118->148
[1.157s][info][gc,heap      ] GC(7) Archive regions: 0->0
[1.157s][info][gc,heap      ] GC(7) Humongous regions: 0->0
[1.157s][info][gc,metaspace ] GC(7) Metaspace: 203K->203K(1056768K)
[1.157s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 156M->152M(768M) 103.121ms
[1.157s][info][gc,cpu       ] GC(7) User=0.83s Sys=0.02s Real=0.10s
[1.251s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[1.251s][info][gc,task      ] GC(8) Using 8 workers of 8 for evacuation
[1.368s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[1.368s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 97.4ms
[1.368s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 19.5ms
[1.368s][info][gc,phases    ] GC(8)   Other: 0.2ms
[1.368s][info][gc,heap      ] GC(8) Eden regions: 33->0(99)
[1.369s][info][gc,heap      ] GC(8) Survivor regions: 5->5(5)
[1.369s][info][gc,heap      ] GC(8) Old regions: 148->178
